_id,OID,OBJECTID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Leng,Shape_Length,Shape_Area
84,-1,84,4,598,רחובות,מגורים,4335,783535,מגורים,8400,1,0,0,4,1,0,1,3,4,7,0,0,1,4,7,5.105068747300000,202304,4073.654410690000077,4073.654410692567581,783534.991985147469677
85,-1,85,11,1224,ירושלים,מגורים,2858,251461,מגורים,3000,1,0,1,19,2,6,12,2,20,20,3,0,0,15,20,43.744300473400003,202304,2631.835530750000089,2631.835530752842260,251461.330526609759545
86,-1,86,32,191,רמת גן,מגורים,6619,248393,מגורים,8600,1,1,6,37,14,8,25,11,44,50,9,1,3,26,50,128.828107240999998,202304,2169.748272050000196,2169.748272048206672,248392.999673695536330
87,-1,87,35,1866,זכרון יעקב,מגורים,6388,3802911,מגורים,9300,1,1,8,53,7,12,44,5,62,69,5,1,2,49,69,9.203475918270000,202304,15738.772377200000847,15738.772377212522770,3802911.020881416741759
88,-1,88,24,817,קריית עקרון,תעשיה,0,625455,תעשיה/מסחר/מתקנים,469,4,0,4,47,2,9,28,14,51,48,2,5,0,32,48,38.372046476500003,202304,4751.787507099999857,4751.787507099764298,625455.304155136574991
89,-1,89,7,2189,רחוב תל תאומים רוויה שדי תרומות,מגורים,1836,8500433,מגורים,0,1,0,2,20,0,7,13,2,22,15,0,1,0,13,15,0.823487512110000,202304,14022.419828300000518,14022.419828310770754,8500432.486292790621519
90,-1,90,1,1459,ביתר עילית,מגורים,12637,554439,מגורים,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,2,1.803624797470000,202304,3927.531065990000116,3927.531065987717739,554439.039319704053923
91,-1,91,13,410,פתח תקווה,תעשיה,0,1787895,תעשיה/מסחר/מתקנים,7900,4,1,3,14,0,2,15,1,18,28,5,3,0,18,28,7.271119955490000,202304,5884.785922160000155,5884.785922156876040,1787895.135766608407721
92,-1,92,2,1077,ירושלים,מגורים,4667,276936,מגורים,3000,1,0,0,4,0,2,2,0,4,4,1,0,0,3,4,7.221886079590000,202304,2161.807039169999825,2161.807039167943458,276935.966305598209146
93,-1,93,16,28,תל אביב -יפו,מגורים,5941,575493,מגורים,5000,1,0,6,14,9,1,11,7,20,23,4,0,0,14,23,27.802237996900001,202304,3687.021814709999944,3687.021814710004492,575493.239133985131048
94,-1,94,14,1719,חיפה,מגורים,6207,1071113,מגורים,4000,1,0,3,19,4,7,12,3,22,28,5,0,0,21,28,13.070515739399999,202304,5122.911529959999825,5122.911529958726533,1071113.051630410132930
95,-1,95,45,670,נתניה,מגורים,8356,654444,מגורים,7400,1,0,5,48,33,5,31,16,53,68,7,0,3,47,68,68.760614806899994,202304,5107.346736239999700,5107.346736242129737,654444.410166772548109
96,-1,96,31,2282,חדרה,מגורים,13322,7127143,מגורים,6500,1,0,6,40,7,14,26,5,46,58,7,0,2,41,58,4.349568662450000,202304,13253.427798500000790,13253.427798513546804,7127143.495308931916952
97,-1,97,0,1296,מחנה ישי מגורים,לא ידוע,0,748323,עתידי/לא ידוע,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,3426.006081240000185,3426.006081243367134,748323.245215061819181
98,-1,98,17,263,גבעתיים,מגורים,3765,275529,מגורים,6300,1,0,6,15,4,5,15,1,21,32,12,0,2,15,32,61.699467308899997,202304,2654.794116149999809,2654.794116152616880,275529.121100459829904
99,-1,99,1,1938,נצרת,מגורים,3502,332086,מגורים,7300,1,0,0,6,0,4,2,0,6,2,0,0,0,1,2,3.011271525960000,202304,5008.947268609999810,5008.947268614211680,332085.629402875085361
100,-1,100,10,121,תל אביב -יפו,מגורים,5115,238191,מגורים,5000,1,0,2,10,4,3,7,2,12,16,2,0,4,6,16,41.983091044600002,202304,2129.891138909999881,2129.891138910657901,238191.132458231004421
101,-1,101,8,1556,סמוך למשמר איילון,שטח פתוח,0,8596439,פנאי/טבע/ספורט,0,3,1,5,10,1,5,11,0,16,15,3,0,1,9,15,0.930617953804000,202304,13280.577074900000298,13280.577074940432794,8596438.492615006864071
102,-1,102,1,2517,דבירה,מגורים,999,8571416,מגורים,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0.116666835739000,202304,13619.682606300000771,13619.682606302545537,8571416.149785209447145
103,-1,103,13,763,אשדוד,מגורים,7010,350466,מגורים,70,1,1,1,12,10,7,5,2,14,18,1,1,0,11,18,37.093447916499997,202304,3089.339528930000142,3089.339528933217935,350466.207111944851931
104,-1,104,2,2135,מנרה משגב עם מרגליות,מגורים,984,16312755,מגורים,0,1,0,0,3,0,0,3,0,3,3,0,0,0,3,3,0.122603446601000,202304,29200.972846100001334,29200.972846139062312,16312755.109650343656540
105,-1,105,1,1405,בית שמש,שטח פתוח,0,625566,פנאי/טבע/ספורט,2610,3,0,0,2,0,0,2,0,2,2,0,0,0,2,2,1.598551311410000,202304,4329.554611780000414,4329.554611783371001,625566.406822542194277
106,-1,106,13,356,הוד השרון,מגורים,4803,1078427,מגורים,9700,1,1,3,15,3,2,10,7,19,27,4,1,1,17,27,12.054590662700001,202304,5151.167686150000009,5151.167686146646702,1078427.328122325474396
107,-1,107,19,2047,פקיעין חדשה פקיעין (בוקייעה),מגורים,6362,7550837,מגורים,0,1,1,4,44,0,11,37,1,49,40,1,2,0,33,40,2.516277303020000,202304,17775.697926000000734,17775.697925961008877,7550837.094623368233442
108,-1,108,5,998,רמת גן,מגורים,493,589850,מגורים,8600,1,0,0,5,1,1,4,0,5,8,2,0,1,5,8,8.476724728540001,202304,3377.127271070000006,3377.127271066516641,589850.462309309164993
109,-1,109,53,1649,אריאל,מגורים,9040,2474450,מגורים,0,1,4,9,75,11,15,60,12,88,97,8,4,1,71,97,21.418901769700000,202304,7106.526909879999948,7106.526909881720712,2474449.930717265233397
110,-1,110,44,2354,אופקים,מגורים,29022,10542599,מגורים,31,1,2,10,62,11,11,58,4,74,78,1,3,2,54,78,4.173543940880000,202304,13919.853303100000630,13919.853303134279486,10542598.957457818090916
111,-1,111,12,600,רחובות,תעשיה,0,358796,תעשיה/מסחר/מתקנים,8400,4,0,1,20,1,5,14,2,21,22,2,3,1,15,22,33.445229977399997,202304,3679.906874820000212,3679.906874817361768,358795.559429670218378
112,-1,112,24,1242,ירושלים,מגורים,4387,296113,מגורים,3000,1,1,3,43,4,9,31,7,47,42,6,1,0,31,42,81.050268969300006,202304,3364.935794200000146,3364.935794201702265,296112.527511508262251
113,-1,113,7,2614,שלווה במדבר,מוסדי,0,539187686,מוסדי/ציבורי,0,2,3,2,10,0,2,12,1,15,12,1,0,0,9,12,0.012982492329200,202304,134889.445234000013443,134889.445233630394796,539187686.194048047065735
114,-1,114,14,193,רמת גן,מגורים+ מכללה אקדמאית,4814,257200,מגורים,8600,1,0,2,16,3,2,13,3,18,25,6,1,2,11,25,54.432256703299998,202304,2722.168703220000225,2722.168703218553219,257200.433124075818341
